"Observed","Total","Completeness","Mean","Median","Min","Max","field_name","form_name","section_header","field_type","field_label","select_choices_or_calculations","field_note","text_validation_type_or_show_slider_number","text_validation_min","text_validation_max","identifier","branching_logic","required_field","custom_alignment","question_number","matrix_group_name","matrix_ranking","field_annotation"
NA,NA,NA,NA,NA,NA,NA,"ins_13","labelling_hh_on_google_maps",NA,"descriptive","<div class=""rich-text-field-label""><p><span style=""color: #236fa1;"">Note to RA:</span><br /><br /><span style=""color: #236fa1;"">Please check whether all fields on this form are completed properly.</span><br /><span style=""color: #236fa1;"">Once done, select unverified then save and move to the next form. </span></p></div>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5864","15574","37.7",NA,NA,NA,NA,"research_assistant_s_name","screening_and_consenting","<center> STAFF DETAILS

","text","<div class=""rich-text-field-label""><p>Research Assistant's Name</p></div>",NA,NA,NA,NA,NA,NA,NA,"y",NA,NA,NA,NA,"@READONLY @USERNAME"
"5864","15574","37.7",NA,NA,NA,NA,"screening_date","screening_and_consenting",NA,"text","Screening Date",NA,NA,"date_dmy",NA,NA,NA,NA,"y",NA,NA,NA,NA,"@READONLY @TODAY"
"5864","15574","37.7",NA,NA,NA,NA,"time_started","screening_and_consenting",NA,"text","Time Started",NA,NA,"time",NA,NA,NA,NA,"y",NA,NA,NA,NA,"@NOW @READONLY"
"5863","15574","37.6",NA,NA,NA,NA,"area","screening_and_consenting","<center> STUDY SITE

","dropdown","Data collection site:","1, Duncan Village | 2, Scenery Park | 3, Nompumelelo | 4, Ducats | 5, Mdantsane | 6, Ndevana | 7, Ginsberg | 8, Buffalo Flats | 9, Zwelitsha",NA,NA,NA,NA,NA,NA,"y",NA,NA,NA,NA,NA
"5863","15574","37.6",NA,NA,NA,NA,"study_community","screening_and_consenting",NA,"dropdown","<div class=""rich-text-field-label""><p><span style=""color: #000000;"">Community Number:</span></p></div>","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 19, 19 | 20, 20 | 21, 21 | 22, 22 | 23, 23 | 24, 24 | 25, 25 | 26, 26 | 27, 27 | 28, 28 | 29, 29 | 30, 30 | 31, 31 | 32, 32 | 33, 33 | 34, 34 | 35, 35 | 36, 36 | 37, 37 | 38, 38 | 39, 39 | 40, 40 | 41, 41 | 42, 42 | 43, 43 | 44, 44 | 45, 45 | 46, 46 | 47, 47 | 48, 48 | 49, 49 | 50, 50","This number is located on the Community Map Legend",NA,NA,NA,NA,NA,"y",NA,NA,NA,NA,NA
"5863","15574","37.6",NA,NA,NA,NA,"square_number","screening_and_consenting",NA,"dropdown","<div class=""rich-text-field-label""><p><span style=""color: #000000;"">Square NUMBER:</span></p> <p><span style=""color: #236fa1;"">(This is the <span style=""text-decoration: underline;"">larger</span> square)</span></p></div>","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15","This is the larger square",NA,NA,NA,NA,NA,"y",NA,NA,NA,NA,NA
"5862","15574","37.6",NA,NA,NA,NA,"sub_square_letter","screening_and_consenting",NA,"dropdown","<div class=""rich-text-field-label""><p><span style=""color: #000000;"">Square LETTER:</span></p> <p><span style=""color: #236fa1;"">(This is the <span style=""text-decoration: underline;"">smaller</span> square)</span></p></div>","1, A | 2, B | 3, C | 4, D | 5, Not applicable","This is the letter of the YELLOW SQUARE on the map",NA,NA,NA,NA,NA,"y",NA,NA,NA,NA,NA
"5861","15574","37.6",NA,NA,NA,NA,"confirm_infrontofgate_door","screening_and_consenting",NA,"radio","<div class=""rich-text-field-label""><p><span style=""color: #236fa1;"">Instruction to RA:</span><br /><br /><span style=""color: #236fa1;"">Approach the door/gate of the Household</span></p></div>","1, I confirm that I am at the gate / door",NA,NA,NA,NA,NA,NA,"y","LH",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,"instruct_gps","screening_and_consenting",NA,"descriptive","<div class=""rich-text-field-label""><p><span style=""color: #236fa1;"">YOU <span style=""text-decoration: underline;"">MUST UPDATE</span> THE <span style=""text-decoration: underline;"">GPS COORDINATES</span> BELOW</span></p></div>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5841","15574","37.5",NA,NA,NA,NA,"gps_coordinates","screening_and_consenting",NA,"text","<div class=""rich-text-field-label""><p><span style=""color: #000000;"">GPS coordinates: Latitude</span></p></div>",NA,"Important! This field must be updated! (when you are at the gate/door)",NA,NA,NA,NA,NA,"y",NA,NA,NA,NA,"@LATITUDE"
"5841","15574","37.5",NA,NA,NA,NA,"gps_coordinates_2","screening_and_consenting",NA,"text","<div class=""rich-text-field-label""><p><span style=""color: #000000;"">GPS coordinates: Longitude</span></p></div>",NA,"Important! This field must be updated! (when you are at the gate/door)",NA,NA,NA,NA,NA,"y",NA,NA,NA,NA,"@LONGITUDE"
"5859","5860","100",NA,NA,NA,NA,"hhmember_present","screening_and_consenting",NA,"radio","Was any household member present when you approached the household?","1, Yes|2, No",NA,NA,NA,NA,NA,"[confirm_infrontofgate_door] = '1'","y","LH",NA,NA,NA,NA
"1495","1496","99.9",NA,NA,NA,NA,"hh_not_present_confirm","screening_and_consenting",NA,"radio","Please confirm that no household member was present","1, I confirm",NA,NA,NA,NA,NA,"[hhmember_present] = '2'","y","LH",NA,NA,NA,NA
"4363","4363","100",NA,NA,NA,NA,"intro_script1","screening_and_consenting","<center></center><center>INTRODUCTION SCRIPT</center><center></center><center></center><center></center><center></center><center></center>
","radio","<div class=""rich-text-field-label""><div class=""rich-text-field-label""> <p><span style=""color: #236fa1;"">INTRODUCTION SCRIPT FOR 1st CONTACT: ENGLISH </span><br /><span style=""font-weight: normal; color: #236fa1;"">Hello my name is __________________. I'm a research assistant working for the Desmond Tutu Health Foundation (DTHF). DTHF with the support of Department of Health is working on various projects aimed at improving TB service provision in health facilities. </span></p> <p><span style=""font-weight: normal; color: #236fa1;"">May I please speak with the head of the household?</span></p> <p> </p> <p><span style=""color: #236fa1;"">INTRODUCTION SCRIPT FOR 1st CONTACT: isiXHOSA</span></p> <p><span style=""font-weight: normal; color: #236fa1;"">Molo igama lam ngu __________________. Ndingumncedisi wophando osebenzela iDesmond Tutu Health Foundation (DTHF) ngenkxaso yeSebe lezeMpilo isebenza kwiprojekti ezahlukeneyo ezijolise ekuphuculeni ubonelelo lwenkonzo zeTB kumaziko ezempilo.</span></p> <p><span style=""font-weight: normal; color: #236fa1;"">Ndicela ukuthetha nentloko yekhaya?</span></p> <p> </p> </div></div>","1, Read the script out loud to the person",NA,NA,NA,NA,NA,"[hhmember_present] = '1'","y","LH",NA,NA,NA,NA
"4363","4363","100",NA,NA,NA,NA,"hoh_at_home","screening_and_consenting",NA,"radio","Is the Head of the Household currently at home?","1, Yes - the person who opened the door is calling the HoH|2, Yes - the person who opened the door is the HoH|3, No",NA,NA,NA,NA,NA,"[intro_script1] = '1'","y","LV",NA,NA,NA,NA
"4104","4105","100",NA,NA,NA,NA,"intro_script_2","screening_and_consenting",NA,"radio","<div class=""rich-text-field-label""><div class=""rich-text-field-label""> <p><span style=""color: #236fa1;"">INTRODUCTION SCRIPT FOR HoH: ENGLISH </span><br /><span style=""font-weight: normal; color: #236fa1;"">Hello my name is __________________. I'm a research assistant working for the Desmond Tutu Health Foundation (DTHF). DTHF with the support of Department of Health is working on various projects aimed at improving TB service provision in health facilities. As a result, we are conducting a study to assess the beliefs, attitudes, and views that different people in this community generally have about TB using questionnaires. </span></p> <p><span style=""font-weight: normal; color: #236fa1;"">You'll recive a R50 Voucher to participate in this study. You will also be provided with snacks. If you decide to not participate, you will not be affected in any way. </span></p> <p><span style=""font-weight: normal; color: #236fa1;"">Do you have time to answer a few questions to check if you are eligibe to partake in the study? I would like to tell you more about the study.</span></p> <p><span style=""color: #236fa1;"">INTRODUCTION SCRIPT FOR HoH: isiXHOSA </span></p> <p><span style=""font-weight: normal; color: #236fa1;"">Molo igama lam ngu __________________. Ndingumncedisi wophando osebenzela iDesmond Tutu Health Foundation (DTHF) ngenkxaso yeSebe lezeMpilo isebenza kwiprojekti ezahlukeneyo ezijolise ekuphuculeni ubonelelo lwenkonzo zeTB kumaziko ezempilo.Ngenxa yoko,senza uphononongo lokuvavanya iinkolelo,izimo zengqondo,neembono abantu abohlukeneyo ekuhlaleni abanazo ngokubanzi malunga nesifo seTB kusetyenziswa iphepha lemibuzo.</span></p> <p><span style=""font-weight: normal; color: #236fa1;"">Uya kufumana ivawutsha ye-R50 ukuthatha inxaxheba koluphononongo.Uya kubonelelwa nangamashwamshwam.Ukuba uthatha isigqibo sokungathathi nxaxheba, awusayi kuchaphazeleka nangayiphi na indlela. </span></p> <p><span style=""font-weight: normal; color: #236fa1;"">Ingaba unalo ixesha lokuthetha nam? Ndingathanda ukuxelela ngakumbi malunga noluphononongo.</span></p> </div></div>","1, Read the script out loud to the HoH",NA,NA,NA,NA,NA,"[hoh_at_home] = '1' or [hoh_at_home] = '2'","y","LH",NA,NA,NA,NA
"4104","4104","100",NA,NA,NA,NA,"interest_status","screening_and_consenting",NA,"radio","Is the Head of the Household interested to participate?","1, Yes|0, No",NA,NA,NA,NA,NA,"[intro_script_2] = '1'","y",NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,"thanks","screening_and_consenting",NA,"descriptive","<div class=""rich-text-field-label""><p><span style=""color: #236fa1;"">THANK YOU VERY MUCH FOR YOUR TIME!</span></p></div>",NA,NA,NA,NA,NA,NA,"[interest_status] = '0' or [hoh_at_home] = '3'",NA,NA,NA,NA,NA,NA
"3610","3610","100",NA,NA,NA,NA,"screening_for_eligibility","screening_and_consenting","<CENTER>RECRUITMENT

","radio","<div class=""rich-text-field-label""><p><span style=""text-decoration: underline;"">Screening for Eligibility</span><br /><br /><span style=""color: #3598db;"">Note to RA: Please ask the following questions to the Head of the Household to assess whether they are eligible to partake in the </span><span style=""color: #3598db;"">study. Select ""Proceed""</span></p> <p> </p></div>","1, Proceed",NA,NA,NA,NA,NA,"[interest_status] = '1'","y","LV",NA,NA,NA,NA
"3607","3607","100",NA,NA,NA,NA,"name","screening_and_consenting",NA,"text","Please specify Name",NA,NA,NA,NA,NA,"y","[screening_for_eligibility] = '1'","y",NA,NA,NA,NA,NA
"3607","3607","100",NA,NA,NA,NA,"surname","screening_and_consenting",NA,"text","Please specify Surname",NA,NA,NA,NA,NA,"y","[screening_for_eligibility] = '1'","y",NA,NA,NA,NA,NA
"3603","3607","99.9","45","42","18","95","how_old_are_you","screening_and_consenting",NA,"text","How old are you?",NA,NA,"number","0","100",NA,"[screening_for_eligibility] = '1'","y",NA,NA,NA,NA,NA
"3607","3607","100",NA,NA,NA,NA,"dob","screening_and_consenting",NA,"text","What is your date of birth?",NA,NA,"date_dmy",NA,NA,"y","[screening_for_eligibility] = '1'","y",NA,NA,NA,NA,NA
"3603","3607","99.9",NA,NA,NA,NA,"calculated_age","screening_and_consenting",NA,"calc","Calculated Age

","round(datediff([dob],[screening_date],'y','dmy'),0)",NA,NA,NA,NA,NA,"[screening_for_eligibility] = '1'",NA,NA,NA,NA,NA,NA
"3607","3607","100",NA,NA,NA,NA,"participant_gender","screening_and_consenting",NA,"radio","Are you male or female?","1, Female|2, Male",NA,NA,NA,NA,NA,"[screening_for_eligibility]=1","y",NA,NA,NA,NA,NA
"3607","3607","100",NA,NA,NA,NA,"lang_fluent","screening_and_consenting",NA,"radio","Are you fluent in either English or isiXhosa?","1, One or both|2, Neither",NA,NA,NA,NA,NA,"[screening_for_eligibility] = '1'","y",NA,NA,NA,NA,NA
"3607","3607","100",NA,NA,NA,NA,"community","screening_and_consenting",NA,"yesno","Does the HoH stay within the selected study square?",NA,NA,NA,NA,NA,NA,"[screening_for_eligibility] = '1'","y",NA,NA,NA,NA,NA
"3598","3598","100",NA,NA,NA,NA,"ra_the_participant_is_elig","screening_and_consenting","<center> ELIGIBILITY SCREENING OUTCOME 

","radio","<div class=""rich-text-field-label""><p><span style=""color: #2dc26b;"">RA: The participant is eligible to participate in the study, you will need to continue with the consenting process. Please select Proceed below to start with the consenting process.</span></p> <p></p></div>","1, Proceed",NA,NA,NA,NA,NA,"[how_old_are_you]>= 18 and [lang_fluent] = 1 and [community]=1","y","LV",NA,NA,NA,NA
"5","3603","0.1",NA,NA,NA,NA,"ra_the_person_is_not_eligi","screening_and_consenting",NA,"radio","<div class=""rich-text-field-label""><p><span style=""color: #e03e2d;"">RA: The person is not eligible to participate in the study. This is the end of the screening and enrollment process. PLEASE THANK HIM/HER FOR THEIR TIME. Select ""End"" below as well as ""Unverified Save & Exit""</span></p> <p></p></div>","1, END",NA,NA,NA,NA,NA,"(([how_old_are_you]>=0 and [how_old_are_you]<=17) or ([lang_fluent] = '2' or [community]= '0'))","y","LV",NA,NA,NA,NA
"3598","3598","100",NA,NA,NA,NA,"note_to_ra_you_will_now_st","screening_and_consenting","<CENTER> CONSENTING PROCESS

","radio","<div class=""rich-text-field-label""><p><span style=""color: #236fa1;"">Note to RA: You wi<span style=""background-color: #ffffff;"">ll now start with the consenting process. Please make sure to do the following:</span></span></p> <p><span style=""color: #236fa1; background-color: #ffffff;"">1. Select the most appropriate language below</span><br /><span style=""color: #236fa1; background-color: #ffffff;"">2. Read the consent form with the participant</span><br /><span style=""color: #236fa1; background-color: #ffffff;"">3. Allow for questions</span><br /><span style=""color: #236fa1; background-color: #ffffff;"">4. If willing to consent, the participant has to provide an electronic signature</span><br /><span style=""color: #236fa1; background-color: #ffffff;"">5. Hand a copy of the consent form to the person (do not include PIN yet, only after the HoH provides consent)</span></p> <p> </p></div>","1, Proceed",NA,NA,NA,NA,NA,"[ra_the_participant_is_elig] = '1'","y","LV",NA,NA,NA,NA
"3597","3597","100",NA,NA,NA,NA,"preferred_language_to_be_u","screening_and_consenting",NA,"radio","Preferred language to be used during the consenting process","1, English|2, Xhosa",NA,NA,NA,NA,NA,"[note_to_ra_you_will_now_st] = '1'","y",NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,"icf_e","screening_and_consenting","<center> CONSENT DOCUMENT 

","descriptive","<div class=""rich-text-field-label""><p style=""margin-left: 143.9pt; text-indent: -136.8pt; line-height: 115%; text-align: justify;""><span style=""color: #e03e2d;""><strong>Title: Multi-Level and Intersectional Stigma and Other Social Determinant Effects on TB Case Detection, </strong><strong>Care, and Treatment Outcomes: The MISSED TB Outcomes Study - Validation of TB-related stigma scales</strong></span></p> <p style=""margin-left: 7.1pt; line-height: 115%; text-align: justify;""><span style=""color: #e03e2d;""><strong>Sponsor:</strong> U.S. National Institutes of Health</span></p> <p style=""margin-left: 7.1pt; line-height: 115%; text-align: justify;""><span style=""color: #e03e2d;""><strong>Co-Principal Investigators:</strong> Dr Andrew Medina-Marino, PhD, Desmond Tutu Health Foundation (DTHF)</span></p> <p style=""margin-left: 115.1pt; text-indent: 28.9pt; line-height: 115%; text-align: justify;""><span style=""color: #e03e2d;"">Dr. Aaron M. Kipp, PhD, East Carolina University</span></p> <p style=""margin-left: 143.9pt; text-indent: -136.8pt; line-height: 115%; text-align: justify;""><span style=""color: #e03e2d;""><strong>Address:</strong> Desmond Tutu Health Foundation, University of Cape Town, Faculty of Health Sciences, Anzio Road, Observatory, 7700, Cape Town</span></p> <p style=""margin-left: 7.1pt; line-height: 115%; text-align: justify;""><span style=""color: #e03e2d;""><strong>Protocol Number:</strong> 543/2020 (Human Research Ethics Committee, University of Cape Town)</span></p> <p style=""text-align: justify;""><span style=""color: #e03e2d;""><strong> </strong></span></p> <p style=""text-align: center;""> </p> <p style=""text-align: center;""><span style=""color: #e03e2d;""><strong><u>Informed Consent Form: Head of Household Survey</u></strong></span><u></u></p> <p style=""text-align: justify;""><strong> </strong></p> <p style=""margin-bottom: .0001pt; text-align: justify;""><span style=""color: #e03e2d;"">Good morning/afternoon. My name is ____________________________ and I work for the Desmond Tutu Health Foundation (DTHF). I would like to invite you to take part in a study we are doing in collaboration with the Eastern Cape Department of Health. The focus of this study is on tuberculosis (TB), which is a very serious problem in South Africa and the Eastern Cape.</span></p> <p style=""margin-bottom: .0001pt; text-align: justify;""> </p> <p style=""margin-bottom: .0001pt; text-align: justify;""><span style=""color: #e03e2d;"">Our study aims to identify and understand how community knowledge, beliefs and social norms influence health behaviours associated with TB in your community. Your home was one of fifty (50) households in your community randomly selected to participate in our study. Your participation, and that of the other selected households, will help us understand how communities can work together to improve the health of people with TB and decrease the burden of TB in the community and throughout South Africa.</span></p> <p style=""margin-bottom: .0001pt; text-align: justify;""> </p> <p style=""margin-bottom: .0001pt; text-align: justify;""><span style=""color: #e03e2d;"">This consent form contains details about the study and what will be expected of you if you agree to participate. Before you agree to take part in the study, you should fully understand why this study is being done. I will go through this consent form with you, and make sure that you understand what the study is all about. If there is anything that you do not understand, please ask me to stop and I will explain it to you. If you have any other questions related to this study, please feel free to ask me.</span></p> <p style=""margin-bottom: .0001pt; text-align: justify;""> </p> <p style=""margin-bottom: .0001pt; text-align: justify;""><span style=""color: #e03e2d;""><strong>PURPOSE OF THE STUDY</strong></span></p> <p style=""margin-bottom: 0.0001pt; text-align: justify;""><span style=""color: #e03e2d;"">We are conducting the survey for two main reasons:</span></p> <p style=""text-align: justify;""><span style=""color: #e03e2d;"">1. To identify and understand how community knowledge, beliefs and social norms health behaviours associated with TB in your community, and</span></p> <p style=""text-align: justify;""><span style=""color: #e03e2d;"">2. To info</span><span style=""color: #e03e2d;"">rm possible ways to improve TB and TB/HIV health outcomes among those with TB or TB/HIV</span></p> <p style=""margin-bottom: 0.0001pt; text-align: justify;""> </p> <p style=""margin-bottom: 0.0001pt; text-align: justify;""><span style=""color: #e03e2d;""><strong>STUDY PROCEDURES </strong></span></p> <p style=""margin-bottom: .0001pt; text-align: justify;""><span style=""color: #e03e2d;"">If you agree to participate, you will first be asked to sign this consent form or make your thumb print mark to show that you are willing to take part in the study. After you agree to be part of our study, you will complete a survey on a tablet computer. This should take approximately 60 minutes to complete. Before you begin the questionnaire, we will show you how to read and navigate to questions on the tablet and answer them.</span></p> <p style=""margin-bottom: .0001pt; text-align: justify;""><span style=""color: #e03e2d;"">The survey will ask questions about your age and your health, your level of education and your employment status, your knowledge and beliefs about TB and HIV, your home environment and community, and things that make it easy or difficult for people in your community to access care.</span></p> <p style=""margin-bottom: 0.0001pt; text-align: justify;""> </p> <p style=""margin-bottom: 0.0001pt; text-align: justify;""><span style=""color: #e03e2d;""><strong>CONFIDENTIALITY</strong></span></p> <p style=""margin-bottom: .0001pt; text-align: justify;""><span style=""color: #e03e2d;"">Your participation in this study will be kept confidential. We will not tell anyone about your participation, and we will make every effort to protect your privacy, confidentiality, answers, and information. Your information and answers will be stored either on a secure, password protected computer, or in a cabinet that will be kept locked at all times in our study office. We will identify you using a special number that will be assigned to you by a computer. Only authorised research staff will know what your special number is or be able to see your information. After these five years, any personal identifying information you provide will be destroyed.</span></p> <p style=""margin-bottom: .0001pt; text-align: justify;""><strong> </strong></p> <p style=""margin-bottom: .0001pt; text-align: justify;""><span style=""color: #e03e2d;""><strong>RISKS, BENEFITS, AND COSTS TO YOU</strong></span></p> <p style=""margin-bottom: .0001pt; text-align: justify;""><span style=""color: #e03e2d;"">Although you will not directly benefit from participating in this survey, your answers will provide valuable insights about TB-related beliefs and social norms in your community. By adding your insights and responses to those of TB patients and health care workers, we will be able to develop programmes to better support people seeking or undergoing TB testing, care, and treatment. Participation in this study will involve no cost to you, and you will not be paid to participate in this study.</span></p> <p style=""margin-bottom: .0001pt; text-align: justify;""><span style=""color: #e03e2d;"">There may be questions that make you feel uncomfortable or raise unpleasant memories. You do not need to answer these questions. If you want any further information or support related to this study, please ask me and I will do my best to answer your questions or refer you to someone who can support you.</span></p> <p style=""margin-bottom: .0001pt; text-align: justify;""> </p> <p style=""margin-bottom: 0.0001pt; text-align: justify;""><span style=""color: #e03e2d;""><strong>WITHDRAWAL FROM THE STUDY</strong></span></p> <p style=""margin-bottom: .0001pt; text-align: justify;""><span style=""color: #e03e2d;"">Participation in this survey is voluntary, you do not need to participate if you do not want to. You are free to skip any questions you do not want to answer. You can also choose to stop the questionnaire and withdraw your participation at any time. You can still go to the clinic for testing or services regardless of if you participate.</span></p> <p style=""margin-bottom: .0001pt; text-align: justify;""> </p> <p style=""margin-bottom: .0001pt; text-align: justify;""><span style=""color: #e03e2d;""><strong>PROBLEMS OR QUESTIONS </strong></span></p> <p style=""margin-bottom: .0001pt; text-align: justify;""><span style=""color: #e03e2d;"">If you ever have any questions or experience harm because of the study, please contact the Study Investigator Dr. Andrew Medina-Marino at 012 816 9000 or <span style=""color: #236fa1;""><a style=""color: #236fa1;"" href=""mailto:AndrewM@foundation.co.za"">Andrew.Marino@hiv-research.org.za</a></span>. This research has been approved by the University of Cape Town Human Research Ethics Committee (an independent committee established to help protect the rights of research participants). If you have any concerns about the way the study is being carried out, you may contact the committee chair, Dr. Marc Blockman, on 021 650 4015 or <span style=""color: #236fa1;""><a style=""color: #236fa1;"" href=""mailto:marc.blockman@uct.ac.za"">marc.blockman@uct.ac.za</a></span>. </span></p> <p style=""text-align: justify;""> </p></div>",NA,NA,NA,NA,NA,NA,"[preferred_language_to_be_u] = '1'",NA,NA,NA,NA,NA,NA
