"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
tbip_sc_existing,index_screening_and_consent,,yesno,"<div class=""rich-text-field-label""><p><span style=""color: #ba372a;"">NOTE TO FW: </span></p> <p><span style=""color: #ba372a;"">Open the TB Stigma patient Details in another tab and search if this participant was not enrolled as part of the Household contact. </span></p> <p>Check the existing list of ALL household contacts AND Passive presenters. Is this index patient listed as a household contact or a passive presenter?<br /><br /></p></div>",,,,,,,[tbip_sc_language]='1',y,LV,,,,
tbip_sc_index_map,index_screening_and_consent,,descriptive,"<div class=""rich-text-field-label""><h5 style=""text-align: left;""><span style=""color: #e03e2d;"">1) Request the participant to draw the directions to their house using the locator form. </span><span style=""color: #e03e2d;"">Include landmarks (e.g. church, spaza shop, school etc.) on the map. </span></h5> <h5 style=""text-align: left;""><span style=""color: #e03e2d;"">2) Use the locator form to determine if the household is inside any of our study communities (Yellow border) on the electronic maps.</span></h5></div>",,,,,,,[tbip_sc_existing]='0',,,,,,
tbip_sc_q17,index_screening_and_consent,,yesno,"Does the participant live within any of the study communities?",,,,,,,[tbip_sc_existing]='0',y,LV,,,,
tbip_sc_age,index_screening_and_consent,,text,"How old are you?",,Years,integer,1,110,,[tbip_sc_q17]='1',y,,,,,
tbip_sc_dob,index_screening_and_consent,,text,"What is your Date of Birth?",,,date_dmy,,,y,[tbip_sc_age]<>'',y,,,,," @HIDEBUTTON"
tbip_sc_age_calc,index_screening_and_consent,,calc,"Auto-calculated Age","rounddown(datediff([tbip_sc_dob], [tbip_sc_date], 'y', 'dmy', true),0)",Years,,,,,[tbip_sc_dob]<>'',,,,,,
tbip_sc_age_mismatch,index_screening_and_consent,,descriptive,"<div class=""rich-text-field-label""><p style=""text-align: center;""> </p> <p style=""text-align: center;""><span style=""color: #e03e2d;"">AGE MISMATCH</span></p> <p style=""text-align: center;""><span style=""color: #e03e2d;"">The age that you have entered and the age that has been calculated using the date of birth that you have entered are not the same. Please make the necessary correction before you can be allowed to proceed.</span></p> <p style=""text-align: center;""> </p></div>",,,,,,,"[tbip_sc_age]!='' and [tbip_sc_age_calc]!='' and [tbip_sc_age]!=[tbip_sc_age_calc]",,,,,,
tbip_sc_below_age,index_screening_and_consent,"<div class=""rich-text-field-label""><p style=""text-align: center;"">Caregiver Information <br /><br /></p></div>",yesno,"The index patient is below the age of 18. 

Do you have a caregiver who is older than 18 years present?",,,,,,,[tbip_sc_age_calc]<18,y,LV,,,,
tbip_sc_caregiver_age,index_screening_and_consent,,text,"<div class=""rich-text-field-label""><p>Request to talk to the index patient's caregiver. Explain to the caregiver that we would like to request their permission to conduct a household visit. Upon their approval, we will schedule a household appointment to screen for TB and to further administer questionnaires.<br /><br /><span style=""color: #ba372a;"">Ask the caregiver their age. What age is the caregiver?</span></p></div>",,,integer,18,110,,[tbip_sc_below_age]='1',y,LV,,,,
tbip_sc_cgiver_permission,index_screening_and_consent,,yesno,"Will you provide us the permission to conduct a household contact investigation?",,,,,,,[tbip_sc_below_age]='1',y,LV,,,,
tbip_sc_cgiver_fullname,index_screening_and_consent,,text,"Caregiver's name and surname",,,,,,y,[tbip_sc_cgiver_permission]='1',y,LV,,,,
tbip_sc_cgiver_sign,index_screening_and_consent,,file,"Will you provide us your signature ",,,signature,,,,[tbip_sc_cgiver_permission]='1',y,LV,,,,
tbip_sc_q13,index_screening_and_consent," ",yesno,"Do you have household contacts?",,,,,,,"[tbip_sc_age]>=18 or [tbip_sc_cgiver_permission]='1'",y,LV,,,,
tbip_sc_q14,index_screening_and_consent,,text,"<div class=""rich-text-field-label""><p>How many household contacts do you have?<br /><br /><span style=""color: #e03e2d;"">NOTE: Please exclude the Index Patient from this count.</span></p></div>",,"You indicated that the participant has household contacts",integer,1,99,,[tbip_sc_q13]='1',y,,,,,
tbip_sc_eligible,index_screening_and_consent,"<div class=""rich-text-field-label""><center></center><center>Eligibility Outcome</center></div>",radio,"<div class=""rich-text-field-label""><h6><span style=""color: green;""><strong> RA: The participant is eligible to participate in the study. <br /><br />The next step is to administer the consent. Please select Proceed below to start with the consenting process </strong></span></h6></div>","1, Proceed",,,,,,"[tbip_sc_q8]='1' and [tbip_sc_q13] = '1' and [tbip_sc_language]='1' and [tbip_sc_existing]='0' and [tbip_sc_q14]>='1' and [tbip_sc_age_calc] >= '18' and [tbip_sc_age_calc] <= '110' and [tbip_sc_q17]='1'",y,LV,,,,
tbip_sc_end_ip,index_screening_and_consent,,radio,"<div class=""rich-text-field-label""><h6><span style=""color: #ba372a;"">The Index Patient is not eligible to participate in the study. This is the end of the screening and consenting process.</span><br /><br /><span style=""color: #ba372a;"">Select ""End"" below and save this form as unverified.</span></h6></div>","1, End",,,,,,"([tbip_sc_q8]='0' and [tbip_sc_q8]<>'') or ([tbip_sc_q13]='0' and [tbip_sc_q13]<>'') or ([tbip_sc_language]='0' and [tbip_sc_language]<>'') or ([tbip_sc_existing]='1' and [tbip_sc_existing]<>'') or ([tbip_sc_age_calc]>'110' and [tbip_sc_age_calc]<>'') or ([tbip_sc_cgiver_permission]='0' and [tbip_sc_cgiver_permission]<>'') or ([tbip_sc_below_age]='0' and [tbip_sc_below_age]<>'') or ([tbip_sc_q17]='0' and [tbip_sc_q17]<>'')",y,LV,,,,
tbip_sc_consenting,index_screening_and_consent,"<center> Consenting 

",radio,"Note to RA:You are about to initiate the consenting process. Please make sure to do the following:

1. Select the most appropriate language below
2. Read the consent form with the participant
3. Allow for questions
4. If willing to consent, the participant has to provide an electronic signature
5. Hand a signed copy of the consent form to the patient (do not include PIN) - where applicable
","1, Proceed",,,,,,[tbip_sc_eligible]='1',y,LV,,,,
tbip_sc_staff_full_name,index_screening_and_consent,"<center> Consent Document 

",text,"FW Full Name",,,,,,,,y,,,,," @CALCTEXT([user-fullname])
@HIDDEN @READONLY"
tbip_sc_consent,index_screening_and_consent,,radio,"<div class=""rich-text-field-label""><p>_________________________________________________________________________________________________________________________________</p> <table style=""border-collapse: collapse; width: 100%; border-style: none;"" border=""0""> <tbody> <tr> <td style=""width: 25.3348%;"">Title:</td> <td style=""width: 71.2888%;""><span style=""font-weight: normal;"">Multi-Level and Intersectional Stigma and Other Social Determinant Effects on TB Case Detection, Care, and Treatment Outcomes: The MISSED TB Outcomes Study</span></td> </tr> <tr> <td style=""width: 25.3348%;"">Sponsor:</td> <td style=""width: 71.2888%;""><span style=""font-weight: normal;"">U.S. National Institutes of Health</span></td> </tr> <tr> <td style=""width: 25.3348%;"">Co-Principal Investigators:</td> <td style=""width: 71.2888%;""><span style=""font-weight: normal;"">Dr Andrew Medina-Marino, PhD, Desmond Tutu Health Foundation (DTHF)</span><br /><span style=""font-weight: normal;"">Dr. Aaron M. Kipp, PhD, East Carolina University</span></td> </tr> <tr> <td style=""width: 25.3348%;"">Address:</td> <td style=""width: 71.2888%;""><span style=""font-weight: normal;"">Desmond Tutu HIV Centre, University of Cape Town, Faculty of Health Sciences, Anzio Road, Observatory, 7700, Cape Town</span></td> </tr> <tr> <td style=""width: 25.3348%;"">Protocol Number:</td> <td style=""width: 71.2888%;""><span style=""font-weight: normal;"">543/2020 (Human Research Ethics Committee, University of Cape Town)</span></td> </tr> </tbody> </table> <p style=""text-align: justify;"">_________________________________________________________________________________________________________________________________<br /><br />Informed Consent Form: TB Index Patient Household Contact Investigation<br /><br /><span style=""font-weight: normal;"">Good morning/afternoon. My name is </span>[tbip_sc_staff_full_name]<span style=""font-weight: normal;""> and I work for the Desmond Tutu Health Foundation (DTHF). We would like to invite you to take part in a study we are doing in collaboration with the Eastern Cape Department of Health. The focus of this study is on tuberculosis (TB), which is a very serious problem in South Africa and the Eastern Cape. </span><br /><br /><span style=""font-weight: normal;"">Our study aims to identify and understand how individual and community knowledge, beliefs and social norms influence TB-related care and health outcomes. You have been approached to participate because you are an index TB patient with household contacts. </span><br /><br /><span style=""font-weight: normal;"">This consent form contains details about the study and what will be expected of you if you agree to participate. Before you agree to take part in the study, you should fully understand why this study is being done. I will go through this consent form with you, and make sure that you understand what the study is all about. If there is anything that you do not understand, please ask me to stop and I will explain it to you. If you have any other questions related to this study, please feel free to ask me. </span><br /><br />PURPOSE OF THE STUDY<br /><span style=""font-weight: normal;"">We are conducting the survey for two main reasons: </span><br /><span style=""font-weight: normal;"">1. To identify and understand how individual and community knowledge, beliefs and social norms influence TB-related care and health outcomes</span><br /><br /><span style=""font-weight: normal;"">2. To inform possible ways to improve TB and TB/HIV health outcomes among those with TB or TB/HIV</span><br /><br />STUDY PROCEDURES <br /><span style=""font-weight: normal;"">If you agree to participate, you will first be asked to sign this consent form or make your thumb print mark to show that you are willing to take part in the study. After you agree to be part of our study, we will work with you to create a map and set of directions to your house. We will also create a detailed list of who lives with you, their contact information, and days that they can usually be found at home. After which, we will schedule a time and day that works best with your household contacts to visit them and screen them for TB. If they screen positive then we will also invite them to participate in the study.</span><br /><br />CONFIDENTIALITY<br /><span style=""font-weight: normal;"">Your participation in this study will be kept confidential. We will not tell anyone about your participation; we will make every effort to protect your privacy, confidentiality, answers, and information. Your household information will be stored either on a secure, password protected computer, or in a cabinet that will be kept locked at all times in our study office. We will identify you and your household using a special number that will be assigned to you by a computer. Only authorised research staff will know what your special number is or be able to see your information. After these five years, any personal identifying information you provide will be destroyed.</span><br /><br />RISKS, BENEFITS, AND COSTS TO YOU<br /><span style=""font-weight: normal;"">We understand that by visiting your home, you may feel the need to disclose your TB status to your household contacts. If you are taking this opportunity to disclose your status for the first time, we are aware that this may be a difficult conversation. This may cause you stress, and may even be stigmatizing. If this happens, please tell us immediately so that we can provide you with support and counselling. If we cannot provide you with the support you need, we will refer you to someone who can.</span><br /><br /><span style=""font-weight: normal;"">Although you will not directly benefit from participating, your household members will benefit from free TB screening. If anyone in your household screens positive for signs and symptoms of TB, we will immediately refer them to the clinic for testing. Participation in this study will involve no cost to you, and you will not be paid to participate in this study. If you decide to not participate, your care or the care of your household members will not be affected.</span> <br /><br />WITHDRAWAL FROM THE STUDY<br /><span style=""font-weight: normal;"">Participation in this survey is voluntary, you do not need to participate if you do not want to. You can choose to not have the study team visit your house during the time leading up to the scheduled visits. You can still go to the clinic for services regardless of if you participate. </span><br /><br />PROBLEMS OR QUESTIONS <br /><span style=""font-weight: normal;"">If you ever have any questions or experience harm because of the study, please contact the Study Investigator Dr. Andrew Medina-Marino at </span>0826373793<span style=""font-weight: normal;""> or <span style=""text-decoration: underline;"">Andrew.Marino@hiv-research.org.za.</span> This research has been approved by the University of Cape Town Human Research Ethics Committee (an independent committee established to help protect the rights of research participants). If you have any concerns about the way the study is being carried out, you may contact the committee chair, Dr. Marc Blockman, on </span>021 650 4015<span style=""font-weight: normal;""> or<span style=""text-decoration: underline;""> marc.blockman@uct.ac.za.</span>  </span></p> <p style=""text-align: justify;"">DECLARATION TO PARTICIPATE</p> <p style=""text-align: justify;""><br /><span style=""font-weight: normal;"">By signing below, I </span>[tbip_sc_part_name] [tbip_sc_part_surname]<span style=""font-weight: normal;""> consent voluntarily to participate in the study entitled: ""</span>Multi-Level and Intersectional Stigma and Other Social Determinant Effects on TB Case Detection, Care, and Treatment Outcomes: The MISSED TB Outcomes Study<span style=""font-weight: normal;"">""</span><br /><br />I declare that:<br /><span style=""font-weight: normal;"">1) I have read this consent form or had it read to me. </span><br /><span style=""font-weight: normal;"">2) I understand the aims of the research and have had an opportunity to ask questions. </span><br /><span style=""font-weight: normal;"">3) I understand what my involvement in the study will entail and agree to participate.</span><br /><span style=""font-weight: normal;"">4) I understand that I do not have to give any information that I am not comfortable sharing.</span><br /><span style=""font-weight: normal;"">5) I understand that I can withdraw from the study at any point if I feel the need to.</span><br /><span style=""font-weight: normal;"">6) By signing this form, I do not give up any rights that I have as a study participant.</span></p></div>","1, Proceed to Consent",,,,,,[tbip_sc_consenting]='1',y,LV,,,,
tbip_sc_fw_note,index_screening_and_consent,,yesno,"<div class=""rich-text-field-label""><p><span style=""color: #ba372a;"">NOTE TO FW:</span><br /><br />Does the participant understand and comprehend the content of the consent form?</p></div>",,,,,,,[tbip_sc_consent]='1',y,LV,,,,
tbip_sc_consent_part,index_screening_and_consent,,yesno,"Did the participant consent to participate in this research study?",,,,,,,[tbip_sc_fw_note]='1',y,LV,,,,
tbip_sc_part_name,index_screening_and_consent,,text,"Participant's Name",,,,,,y,[tbip_sc_consent_part]='1',y,,,,,
tbip_sc_part_surname,index_screening_and_consent,,text,"Participant's Surname",,,,,,y,[tbip_sc_consent_part]='1',y,,,,,
tbip_sc_part_can_sign,index_screening_and_consent,,yesno,"Can the participant sign for themselves?",,,,,,,[tbip_sc_consent_part]='1',y,LV,,,,
tbip_sc_part_sign,index_screening_and_consent,"<center> Consent Signature 

",file,"I, [tbip_sc_part_name] [tbip_sc_part_surname], hereby provide my electronic consent below, confirming that I have read and/or had read to me the consent form and that I voluntarily consent to take part in this study. 

",,"Note to RA: The participant must sign after clicking the ""save signature"" icon",signature,,,,[tbip_sc_part_can_sign]='1',y,LV,,,,
tbip_sc_witness_fullname,index_screening_and_consent,,text,"Name of witness",,,,,,y,[tbip_sc_part_can_sign]='0',y,,,,,
tbip_sc_witness_sign,index_screening_and_consent,,file,"I, [tbip_sc_witness_fullname], hereby confirm that the consent form has been explained to me, I have read the consent form and that [tbip_sc_part_name] [tbip_sc_part_surname] voluntary consents to take part in this study.",,"Note to RA: The participant must sign after clicking the ""save signature"" icon",signature,,,,[tbip_sc_part_can_sign]='0',y,LV,,,,
tbip_sc_ra_sign,index_screening_and_consent,,file,"Fieldworker's Signature",,"Note to RA: The participant must sign after clicking the ""save signature"" icon",signature,,,,"[tbip_sc_part_can_sign]='0' or [tbip_sc_part_can_sign]='1'",y,LV,,,,
tbip_sc_pin_setup1,index_screening_and_consent,,text,"Pin setup 1 (Facility)",,,,,,,,y,,,,," @CALCTEXT(if([tbip_sc_q5]='1', 'A', if([tbip_sc_q5]='2', 'B', if([tbip_sc_q5]='3', 'C', if([tbip_sc_q5]='4', 'D', if([tbip_sc_q5]='5', 'E', if([tbip_sc_q5]='6', 'F', if([tbip_sc_q5]='7', 'G', if([tbip_sc_q5]='8', 'H', if([tbip_sc_q5]='9', 'J', if([tbip_sc_q5]='10', 'K', if([tbip_sc_q5]='11', 'L', if([tbip_sc_q5]='12', 'M', if([tbip_sc_q5]='13', 'N', if([tbip_sc_q5]='14', 'P', if([tbip_sc_q5]='15', 'Q', if([tbip_sc_q5]='16', 'R', if([tbip_sc_q5]='17', 'S', if([tbip_sc_q5]='18', 'T',"""")))))))))))))))))))
@HIDDEN"
tbip_sc_pin_setup2,index_screening_and_consent,,calc,"Pin setup (cohort)","if([record_id]<=999,""0"", ""5"")",,,,,,,y,,,,," @HIDDEN"
tbip_sc_pin_setup3,index_screening_and_consent,,calc,"Pin setup 3 (Household Number)
","""00""","* Always ""00"" for index patient.",,,,,,y,,,,," @HIDDEN"
tbip_sc_pin_setup4,index_screening_and_consent,,calc,"Pin setup 4 (RecordID)",[record_id],,,,,,,,,,,," @HIDDEN"
tbip_sc_participant_pin,index_screening_and_consent,,text,"Final pin",,,,,,,,,,,,," @CALCTEXT(concat([tbip_sc_pin_setup1], [tbip_sc_pin_setup2], '-', right(concat('00', [tbip_sc_pin_setup3]), 2), right(concat('00', [tbip_sc_pin_setup4]), 3)))
@HIDDEN"
tbip_sc_consent_date,index_screening_and_consent,,text,"Consent Date ",,,date_dmy,,today,,"[tbip_sc_consent_part] = '1'",y,,,,,
tbip_sc_refuse,index_screening_and_consent,"<center> Consent Outcome 

",checkbox,"Why don't you want to be part of the study?","1, I'm not interested|2, I am enrolled in another study|3, I do not have time|4, I am tired|5, Other",,,,,,"[tbip_sc_consent_part] = '0'",y,,,,,
tbip_sc_refuse_oth,index_screening_and_consent,,text,"Please specify",,,,,,,"[tbip_sc_refuse(5)] = '1'",y,,,,,
tbip_sc_eligible_no_2,index_screening_and_consent,,radio,"<font color=""red""><strong> RA: The Index Patient refused to provide consent to partake in the study. This is the end of the screening and enrollment process. 

PLEASE THANK THE INDEX PATIENT FOR HIS/HER TIME.","1, END",,,,,,"[tbip_sc_refuse(1)] = '1' or [tbip_sc_refuse(2)] = '1' or [tbip_sc_refuse(3)] = '1' or [tbip_sc_refuse(4)] = '1' or ([tbip_sc_refuse(5)] = '1' and [tbip_sc_refuse_oth]<>'')",y,LV,,,,
tbip_sc_comprehend_no,index_screening_and_consent,,radio,"<font color=""red""><strong> RA: The Index Patient did not comprehend the informed consent form. This is the end of the screening and enrollment process. 

PLEASE THANK THE INDEX PATIENT FOR HIS/HER TIME.","1, END",,,,,,[tbip_sc_fw_note]='0',y,LV,,,,
tbip_sc_pin_intro,index_screening_and_consent,,radio,"<div class=""rich-text-field-label""><h6 style=""text-align: center;""><br /><span style=""color: #2dc26b;"">CONSENTED</span><br /><span style=""color: #169179;""><span style=""color: #2dc26b;"">The index patient has agreed to provide consent. You will now obtain a unique PIN. This PIN will be generated by REDcap and should be used on all hard-copy documents, if required.</span></span></h6></div>","1, Proceed",,,,,,[tbip_sc_consent_part]='1',y,LV,,,,
tbip_sc_participant_pin_reveal,index_screening_and_consent,"<center> Participant PIN

",radio,"<div class=""rich-text-field-label""><p style=""text-align: center;"">Participant's PIN is:</p><p style=""text-align: center;""><span style=""color: #e03e2d;"">[tbip_sc_participant_pin]</span></p></div>","1, Proceed",,,,,,[tbip_sc_pin_intro]='1',y,LV,,,,
tbip_sc_basic_info_intro,index_screening_and_consent,"<center> Participant Information

",radio,"Note to FW: You are about to capture some basic information about the participant. Please select Proceed to continue.

","1, Proceed",,,,,,"[tbip_sc_participant_pin_reveal]= '1'",y,LV,,,,
tbip_sc_id_pass,index_screening_and_consent,,radio,"Do you have or know your ID number or Passport number?","1, SA ID|0, Passport|2, Does not have/know either the ID/Passport number",,,,,,"[tbip_sc_basic_info_intro] ='1'",y,LV,,,,
tbip_sc_id_no,index_screening_and_consent,,text,"What is your ID Number?",,,integer,1,,y,"[tbip_sc_id_pass] = '1'",y,,,,," @CHARLIMIT = 13"
tbip_sc_passport,index_screening_and_consent,,text,"What is your passport number? ",,,,,,y,"[tbip_sc_id_pass] = '0'",y,,,,,
tbip_sc_pref_cont,index_screening_and_consent,"<center> Contact Details

",text,"What is your preferred contact number?",,"Must have 10 digits",integer,,,y,"[tbip_sc_basic_info_intro] ='1' or [tbip_sc_cgiver_sign]<>''",y,,,,,
tbip_sc_pref_cont_2,index_screening_and_consent,,text,"RA: Re-enter the participant's preferred contact number",,,integer,,,y,"[tbip_sc_basic_info_intro] ='1' or [tbip_sc_cgiver_sign]<>''",y,,,,,
tbip_sc_pref_cont_consist,index_screening_and_consent,,calc,"Preferred contact: Consistency ",[tbip_sc_pref_cont]-[tbip_sc_pref_cont_2],"0: MATCH ",,,,,"[tbip_sc_pref_cont_2] <> """"",y,,,,," @HIDDEN"
tbip_sc_pref_cont_no_match,index_screening_and_consent,,descriptive,"<div class=""rich-text-field-label""><p style=""text-align: center;""><span style=""color: #e03e2d;"">PARTICIPANT PREFERRED CONTACTS DO NOT MATCH.RE-ENTER BOTH THE PARTICIPANTS CONTACTS. Initial entries are below:</span></p> <p style=""text-align: center;""><span style=""color: #e03e2d;"">Contact 1: [tbip_sc_pref_cont]</span></p> <p style=""text-align: center;""><span style=""color: #e03e2d;"">Confirm entry: [tbip_sc_pref_cont_2]</span></p></div>",,,,,,,"[tbip_sc_pref_cont_consist] <>""0"" AND [tbip_sc_pref_cont_consist] <>""""",,,,,,
tbip_sc_pref_cont_yes_match,index_screening_and_consent,,radio,"<div class=""rich-text-field-label""><h5 style=""text-align: center;""><span style=""color: #2dc26b;"">PARTICIPANT PREFERRED CONTACT MATCH.</span></h5></div>","1, Proceed",,,,,,"[tbip_sc_pref_cont_consist] =""0""",y,LV,,,,
tbip_sc_contact_owner,index_screening_and_consent,,radio,"Specify the owner of this contact number.","1, Index Patient (Participant) | 2, Caregiver | 3, Sibling | 4, Partner/ Spouse | 5, Child | 9, Other",,,,,,"[tbip_sc_pref_cont_yes_match]= '1'",y,LV,,,,
tbip_sc_contact_owner_oth,index_screening_and_consent,,text,"If ""Other"" please specify",,,,,,,"[tbip_sc_contact_owner] = '9'",y,LV,,,,
tbip_sc_alt_contacts,index_screening_and_consent,,yesno,"<div class=""rich-text-field-label""><p>Do you have alternative contacts?</p></div>",,,,,,,"[tbip_sc_pref_cont_yes_match] = '1'",y,LV,,,,
tbip_sc_opt_cont,index_screening_and_consent,,text,"<div class=""rich-text-field-label""><p>What is your optional contact number?</p></div>",,,integer,,,y,[tbip_sc_alt_contacts]='1',y,,,,,
tbip_sc_hoh,index_screening_and_consent,,yesno,"<div class=""rich-text-field-label""><p>Are you the Head of the Household?</p></div>",,,,,,y,"[tbip_sc_alt_contacts]<>""""",y,LV,,,,
tbip_sc_hoh_ns,index_screening_and_consent,,text,"<div class=""rich-text-field-label""><p>Head of the Household Name and Surname</p></div>",,,,,,y,"[tbip_sc_hoh] = '0'",y,,,,,
tbip_sc_hoh_contact,index_screening_and_consent,,text,"<div class=""rich-text-field-label""><p>Head of the Household <span style=""color: #ba372a;"">contact Number </span>details</p></div>",,,integer,,,y,"[tbip_sc_hoh] = '0'",y,,,,,
tbip_sc_street_add,index_screening_and_consent,"<div class=""rich-text-field-label""><div class=""rich-text-field-label""> <p style=""text-align: center;"">Residential Address</p> <p style=""text-align: center;""> </p> </div></div>",text,"Street Address",,,,,,y,"[tbip_sc_hoh] ='1' or ([tbip_sc_hoh] ='0' and [tbip_sc_hoh_contact]<>'')",y,,,,,
tbip_sc_suburb,index_screening_and_consent,,dropdown,Suburb,"1, Mdanstane | 2, Duncan Village/Gompo/Ziphunzana/Gesini/Pefferville/Parkridge/Buffalo Flats/Parkside/Parktown/Ford&Msimango/New Rest/Diphini | 3, Nompumelelo | 4, Scenery Park | 5, Ginsberg | 6, Zwelitsha | 7, Ndevana | 8, Ducats | 9, Fort Murray | 10, Kwalini | 11, KwaMlakalaka | 12, Imidushani | 13, Izeleni | 14, Godidi | 15, eNgqokweni | 16, Ndileka | 17, KwaNdubungela | 18, KwaBhonke | 19, Ngxwalane | 20, KwaQongqotha",,,,,,"[tbip_sc_hoh] ='1' or ([tbip_sc_hoh] ='0' and [tbip_sc_hoh_contact]<>'')",y,,,,,
tbip_sc_verbal_consent1,index_screening_and_consent,"<div class=""rich-text-field-label""><center>Household Visit Scheduling</center><center></center><center></center><center></center></div>",radio,"<div class=""rich-text-field-label""><h6><span style=""color: #ba372a;"">Note to FW:</span></h6> <h6>You are about to schedule a household visit with the participant. Please note that the visit CANNOT occur either TODAY or TOMORROW. Select ""Proceed"" to schedule the household visit.</h6></div>","1, Proceed",,,,,,[tbip_sc_suburb]<>'',y,LV,,,,
tbip_sc_date_visit_hh1,index_screening_and_consent,,text,"<div class=""rich-text-field-label""><h6>Which date will be convenient for your household contacts so that we can come and perform a HHCI? <br /><br />On this date, we should be able to find all/almost all your household members. <br /><br /><span style=""color: #ba372a;"">NOTE: FW </span><br /><br /><span style=""color: #ba372a;"">Min 3 days and Max 5 Days to schedule a house visit.</span><br /><br /></h6></div>",,,date_dmy,,,,"[tbip_sc_verbal_consent1] = '1'",y,LV,,,," @HIDEBUTTON"
